,,,Persons Aged 15+ Years,,,Children Aged 10-17 Years,,,
Region,District,Sub-county,Working,Not Working,Total,Working,Not Working,Total,
Eastern,Manafwa,Tsekululu,6684,1537,8221,1250,2111,3361,
Eastern,Manafwa,Weswa,3252,584,3836,936,696,1632,
Eastern,Manafwa,Manafwa Total,140964,33374,174338,28647,49055,77702,
Eastern,Mayuge,Baitambogwe,14630,5275,19905,2642,5925,8567,
Eastern,Mayuge,Bukabooli,16943,2422,19365,4467,5039,9506,
Eastern,Mayuge,Bukatube,15535,3761,19296,4147,4420,8567,
Eastern,Mayuge,Busakira,10929,2800,13729,3019,4061,7080,
Eastern,Mayuge,Buwaaya,7443,2780,10223,1369,3691,5060,
Eastern,Mayuge,Imanyiro,10166,4926,15092,2165,5122,7287,
Eastern,Mayuge,Jaguzi,5498,1792,7290,417,1494,1911,
Eastern,Mayuge,Kigandalo,12913,1501,14414,5054,2222,7276,
Eastern,Mayuge,Kityerera,17084,4383,21467,4651,5386,10037,
Eastern,Mayuge,Malongo,41606,5756,47362,11855,8725,20580,
Eastern,Mayuge,Mayuge Town Council,5272,3679,8951,515,3145,3660,
Eastern,Mayuge,Mpungwe,9292,2739,12031,1909,4012,5921,
Eastern,Mayuge,Wairasa,13318,3920,17238,2867,4350,7217,
Eastern,Mayuge,Mayuge Total,180629,45734,226363,45077,57592,102669,
Eastern,Mbale,Industrial Divison,13798,9602,23400,828,6722,7550,
Eastern,Mbale,Northern Division,11651,9814,21465,539,5841,6380,
Eastern,Mbale,Wanale Division,5029,3433,8462,202,2588,2790,
Eastern,Mbale,Bubyangu,4658,5728,10386,322,4334,4656,
Eastern,Mbale,Budwale,3293,497,3790,1069,724,1793,
Eastern,Mbale,Bufumbo,5755,3948,9703,448,4493,4941,
Eastern,Mbale,Bukasakya,10013,6059,16072,897,5072,5969,
Eastern,Mbale,Bukiende,9369,2023,11392,2903,1896,4799,
Eastern,Mbale,Bukonde,7568,2340,9908,929,3269,4198,
Eastern,Mbale,Bumasikye,3816,2640,6456,248,2517,2765,
Eastern,Mbale,Bumbobi,6345,2304,8649,903,2714,3617,
Eastern,Mbale,Bungokho,11513,3599,15112,1501,4519,6020,
Eastern,Mbale,Bungokho Mutoto,11711,7205,18916,1031,6152,7183,
Eastern,Mbale,Busano,4231,3220,7451,475,2886,3361,
Eastern,Mbale,Busiu,10248,2239,12487,3093,2452,5545,
Eastern,Mbale,Busoba,8947,1925,10872,2386,2313,4699,
Eastern,Mbale,Lukhonge,4090,748,4838,1228,1031,2259,
Eastern,Mbale,Lwasso,3989,594,4583,1088,795,1883,
Eastern,Mbale,Nakaloke,5839,5552,11391,608,4504,5112,
Eastern,Mbale,Nakaloke Town Council,8772,5818,14590,503,5346,5849,
Eastern,Mbale,Namanyonyi,11165,5199,16364,1745,4790,6535,
Eastern,Mbale,Nyondo,4269,2189,6458,426,2250,2676,
Eastern,Mbale,Wanale,5992,660,6652,2188,826,3014,
Eastern,Mbale,Mbale Total,172061,87336,259397,25560,78034,103594,
Eastern,Namayingo,Banda,17333,2976,20309,5222,4648,9870,
Eastern,Namayingo,Bukana,2784,1191,3975,664,957,1621,
Eastern,Namayingo,Buhemba,10554,1835,12389,3172,2633,5805,
Eastern,Namayingo,Buswale,10642,2082,12724,2854,3123,5977,
Eastern,Namayingo,Buyinja,8432,1726,10158,2723,2501,5224,
Eastern,Namayingo,Lolwe,5536,1666,7202,301,1069,1370,
Eastern,Namayingo,Mutumba,14064,5005,19069,2098,7098,9196,
Eastern,Namayingo,Namayingo Town Council,5941,1642,7583,1147,2324,3471,
Eastern,Namayingo,Sigulu Island,6473,1687,8160,715,2116,2831,
Eastern,Namayingo,Namayingo Total,81759,19810,101569,18896,26469,45365,
Eastern,Namutumba,Bulange,16275,4071,20346,3476,6046,9522,
Eastern,Namutumba,Ivukula,16602,4077,20679,3906,5934,9840,
Eastern,Namutumba,Kibaale,12071,3284,15355,2387,5176,7563,
Eastern,Namutumba,Magada,18333,3917,22250,5423,5606,11029,
Eastern,Namutumba,Namutumba,14168,3363,17531,3786,4736,8522,
Eastern,Namutumba,Namutumba Town Council,5179,4260,9439,434,3585,4019,
Eastern,Namutumba,Nsinze,8683,3449,12132,940,4989,5929,
Eastern,Namutumba,Namutumba Total,91311,26421,117732,20352,36072,56424,
Eastern,Ngora,Kapir,3319,12024,15343,502,6470,6972,
Eastern,Ngora,Kobwin,2817,12879,15696,510,7092,7602,
Eastern,Ngora,Mukura,5259,11891,17150,943,6731,7674,
Eastern,Ngora,Ngora,5456,8522,13978,985,5485,6470,
Eastern,Ngora,Ngora Town Council,5381,2115,7496,1144,1894,3038,
Eastern,Ngora,Ngora Total,22232,47431,69663,4084,27672,31756,
Eastern,Pallisa,Butebo,11182,2535,13717,3534,3062,6596,
Eastern,Pallisa,Kabwangasi,6756,6928,13684,674,5778,6452,
Eastern,Pallisa,Kakoro,6093,2197,8290,1120,2926,4046,
Eastern,Pallisa,Kanginima,4182,475,4657,1673,576,2249,
Eastern,Pallisa,Kibale,6530,1137,7667,2097,1601,3698,
Eastern,Pallisa,Opwateta,7136,766,7902,2939,910,3849,
Eastern,Pallisa,Petete,10590,1447,12037,4492,1627,6119,
Eastern,Pallisa,Kamuge,7606,2394,10000,3105,1942,5047,
Eastern,Pallisa,Kasodo,5195,1571,6766,1841,1483,3324,
Eastern,Pallisa,Olok,5544,1932,7476,1943,2031,3974,
Eastern,Pallisa,Pallisa,6845,417,7262,3106,531,3637,
Eastern,Pallisa,Pallisa Town Council,10485,5558,16043,1650,5575,7225,
Eastern,Pallisa,Puti-Puti,9540,1732,11272,3173,2382,5555,
Eastern,Pallisa,Agule,8048,651,8699,3318,727,4045,
Eastern,Pallisa,Akisim,5192,1314,6506,1625,1375,3000,
Eastern,Pallisa,Apopong,9454,2547,12001,2777,3296,6073,
Eastern,Pallisa,Chelekura,4002,1566,5568,656,2203,2859,
Eastern,Pallisa,Gogonyo,12466,1820,14286,4586,2374,6960,
Eastern,Pallisa,Kameke,6326,1756,8082,1482,2513,3995,
Eastern,Pallisa,Pallisa Total,143172,38743,181915,45791,42912,88703,
Eastern,Serere,Bugondo,13490,2998,16488,3174,4837,8011,
Eastern,Serere,Kadungulu,11702,2964,14666,2561,4591,7152,
Eastern,Serere,Kasilo Town Council,1300,518,1818,78,676,754,
Eastern,Serere,Labori,6595,2639,9234,1321,2770,4091,
Eastern,Serere,Pingire,13976,2267,16243,4946,2535,7481,
Eastern,Serere,Atiira,8938,1330,10268,2929,1706,4635,
Eastern,Serere,Kateta,20696,4990,25686,4880,7325,12205,
Eastern,Serere,Kyere,19220,3501,22721,6599,4364,10963,
Eastern,Serere,Olio,10985,2988,13973,3416,2917,6333,
Eastern,Serere,Serere Town Council,2662,1911,4573,193,1399,1592,
Eastern,Serere,Serere Total,109564,26106,135670,30097,33120,63217,
Eastern,Sironko,Budadiri Town Council,7370,2383,9753,1711,2493,4204,
Eastern,Sironko,Bugitimwa,3699,822,4521,342,1494,1836,
Eastern,Sironko,Buhugu,2944,1093,4037,268,1426,1694,
Eastern,Sironko,Bukhulo,6250,2566,8816,304,3902,4206,
Eastern,Sironko,Bukiise,8695,2172,10867,1567,2871,4438,
Eastern,Sironko,Bukiyi,5395,1517,6912,856,2045,2901,
Eastern,Sironko,Bukyabo,2670,882,3552,79,1582,1661,
Eastern,Sironko,Bukyambi,1414,525,1939,129,701,830,
Eastern,Sironko,Bumalimba,6919,2011,8930,701,2987,3688,
Eastern,Sironko,Bumasifwa,4402,1129,5531,338,1879,2217,
Eastern,Sironko,Bunyafa,4685,1320,6005,370,2316,2686,
Eastern,Sironko,Busulani,2953,1150,4103,228,1504,1732,
Eastern,Sironko,Butandiga,2487,688,3175,377,1045,1422,
Eastern,Sironko,Buteza,4605,1049,5654,572,1967,2539,
Eastern,Sironko,Buwalasi,5881,1718,7599,528,2442,2970,
Eastern,Sironko,Buwasa,3609,1252,4861,344,1670,2014,
Eastern,Sironko,Buyobo,5272,1906,7178,847,2074,2921,
Eastern,Sironko,Masaba,4300,917,5217,404,1818,2222,
Eastern,Sironko,Nalusala,3991,1111,5102,305,1733,2038,
Eastern,Sironko,Sironko Town Council,5682,3301,8983,383,3410,3793,
Eastern,Sironko,Zesui,4531,1011,5542,358,2022,2380,
Eastern,Sironko,Sironko Total,97754,30523,128277,11011,43381,54392,
Eastern,Soroti,Eastern Division,7154,4033,11187,574,2793,3367,
Eastern,Soroti,Northern Division,6258,4329,10587,461,2809,3270,
Eastern,Soroti,Western Division,4316,2820,7136,233,1890,2123,
Eastern,Soroti,Tubur,9551,702,10253,4045,1019,5064,
Eastern,Soroti,Kamuda,12454,5208,17662,2948,5478,8426,
Eastern,Soroti,Asuret,16832,2208,19040,6279,2421,8700,
Eastern,Soroti,Katine,14033,2237,16270,5066,2732,7798,
Eastern,Soroti,Soroti,8766,4680,13446,1156,4014,5170,
Eastern,Soroti,Arapai,18510,1455,19965,7789,1242,9031,
Eastern,Soroti,Gweri,19751,3687,23438,4847,5750,10597,
Eastern,Soroti,Soroti Total,117625,31359,148984,33398,30148,63546,
Eastern,Tororo,Kwapa,9670,736,10406,3982,807,4789,
Eastern,Tororo,Malaba Town Council,6413,3234,9647,606,2760,3366,
Eastern,Tororo,Mella,8858,965,9823,3271,1198,4469,
Eastern,Tororo,Merikit,11419,1204,12623,4289,1379,5668,
Eastern,Tororo,Molo,6729,2654,9383,2262,2079,4341,
Eastern,Tororo,Mukuju,14014,5091,19105,1578,7133,8711,
Eastern,Tororo,Osukuru,20257,3308,23565,6849,3144,9993,
Eastern,Tororo,Iyolwa,8895,557,9452,3678,960,4638,
Eastern,Tororo,Kirewa,11716,1803,13519,3531,2934,6465,
Eastern,Tororo,Kisoko,9130,630,9760,3717,651,4368,
Eastern,Tororo,Magola,8032,783,8815,2932,1128,4060,
Eastern,Tororo,Mulanda,16893,1939,18832,6321,2410,8731,
Eastern,Tororo,Nabuyoga,12362,2132,14494,3942,3083,7025,
Eastern,Tororo,Nagongera,8824,3603,12427,1974,3890,5864,
Eastern,Tororo,Nagongera Town Council,4541,1587,6128,1115,1649,2764,
Eastern,Tororo,Paya,11564,2683,14247,3051,3477,6528,
Eastern,Tororo,Petta,7580,239,7819,3292,245,3537,
Eastern,Tororo,Rubongi,11180,7751,18931,1168,7289,8457,
Eastern,Tororo,Sop-Sop,5872,1006,6878,1969,1199,3168,
Eastern,Tororo,Eastern Division,6987,3638,10625,957,3018,3975,
Eastern,Tororo,Western Division,7289,5740,13029,514,4192,4706,
Eastern,Tororo,Tororo Total,208225,51283,259508,60998,54625,115623,
