,,,Persons Aged 15+ Years,,,Children Aged 10-17 Years,,,
Region,District,Sub-county,Working,Not Working,Total,Working,Not Working,Total,
Eastern,Katakwi,Toroma,5643,575,6218,1960,576,2536,
Eastern,Katakwi,Katakwi,15464,2705,18169,5474,2876,8350,
Eastern,Katakwi,Katakwi Town Council,3112,1074,4186,517,1069,1586,
Eastern,Katakwi,Ngariam,4330,1275,5605,1171,1244,2415,
Eastern,Katakwi,Ongongoja,6441,1416,7857,2294,1282,3576,
Eastern,Katakwi,Palam,4496,1556,6052,1295,1262,2557,
Eastern,Katakwi,Usuk,8904,1768,10672,2648,2154,4802,
Eastern,Katakwi,Katakwi Total,69204,13889,83093,23093,13369,36462,
Eastern,Kibuku,Bulangira,9800,1786,11586,3485,1881,5366,
Eastern,Kibuku,Buseta,7038,419,7457,3009,669,3678,
Eastern,Kibuku,Kabweri,6217,853,7070,2367,1178,3545,
Eastern,Kibuku,Kadama,6442,3083,9525,480,3971,4451,
Eastern,Kibuku,Kagumu,12044,487,12531,5655,473,6128,
Eastern,Kibuku,Kasasira,8628,1321,9949,2223,2721,4944,
Eastern,Kibuku,Kibuku,4855,981,5836,1391,1461,2852,
Eastern,Kibuku,Kibuku Town Council,2903,1100,4003,270,1535,1805,
Eastern,Kibuku,Kirika,8891,1844,10735,3311,2119,5430,
Eastern,Kibuku,Tirinyi,12111,2612,14723,3340,3708,7048,
Eastern,Kibuku,Kibuku Total,78929,14486,93415,25531,19716,45247,
Eastern,Kumi,Northern Division,7814,1720,9534,2619,1371,3990,
Eastern,Kumi,Southern Division,7309,2581,9890,2013,2197,4210,
Eastern,Kumi,Atutur,9447,1367,10814,3200,1625,4825,
Eastern,Kumi,Kanyum,17996,2000,19996,6567,2859,9426,
Eastern,Kumi,Kumi,7630,1193,8823,2479,1442,3921,
Eastern,Kumi,Mukongoro,18574,3753,22327,6691,3921,10612,
Eastern,Kumi,Nyero,14947,839,15786,6851,736,7587,
Eastern,Kumi,Ongino,16302,4569,20871,4261,5101,9362,
Eastern,Kumi,Kumi Total,100019,18022,118041,34681,19252,53933,
Eastern,Kween,Benet,4967,460,5427,2053,569,2622,
Eastern,Kween,Binyiny,2411,142,2553,999,131,1130,
Eastern,Kween,Binyiny Town Council,1248,512,1760,65,693,758,
Eastern,Kween,Kaproron,2381,202,2583,926,184,1110,
Eastern,Kween,Kaptoyoy,3683,737,4420,954,880,1834,
Eastern,Kween,Kaptum,3183,1575,4758,559,1560,2119,
Eastern,Kween,Kiriki,2441,349,2790,358,491,849,
Eastern,Kween,Kitawoi,3092,474,3566,1308,516,1824,
Eastern,Kween,Kwanyiy,4428,436,4864,1814,524,2338,
Eastern,Kween,Kwosir,3951,1515,5466,986,1776,2762,
Eastern,Kween,Moyok,2147,763,2910,321,881,1202,
Eastern,Kween,Ngenge,5183,863,6046,1403,728,2131,
Eastern,Kween,Kween Total,39115,8028,47143,11746,8933,20679,
Eastern,Luuka,Bukanga,12577,7290,19867,1875,8109,9984,
Eastern,Luuka,Bukooma,15295,3420,18715,4539,4862,9401,
Eastern,Luuka,Bulongo,9062,4222,13284,1623,5231,6854,
Eastern,Luuka,Ikumbya,12439,3262,15701,1834,6002,7836,
Eastern,Luuka,Irongo,9088,3524,12612,710,5741,6451,
Eastern,Luuka,Luuka Town Council,3766,1268,5034,634,1597,2231,
Eastern,Luuka,Nawampiti,9102,1225,10327,3536,1630,5166,
Eastern,Luuka,Waibuga,12575,5140,17715,2146,6566,8712,
Eastern,Luuka,Luuka Total,83904,29351,113255,16897,39738,56635,
Eastern,Manafwa,Bubutu,8100,2954,11054,553,4557,5110,
Eastern,Manafwa,Bugobero,4930,1654,6584,482,2535,3017,
Eastern,Manafwa,Bukhabusi,4059,877,4936,700,1538,2238,
Eastern,Manafwa,Bukhaweka,3305,1282,4587,234,1840,2074,
Eastern,Manafwa,Bukhofu,2913,654,3567,415,1258,1673,
Eastern,Manafwa,Bukiabi,4637,675,5312,1367,988,2355,
Eastern,Manafwa,Bukokho,8709,219,8928,3810,292,4102,
Eastern,Manafwa,Bukusu,4846,1327,6173,185,2560,2745,
Eastern,Manafwa,Bumbo,7205,692,7897,2424,1230,3654,
Eastern,Manafwa,Bumwoni,8509,804,9313,3188,1006,4194,
Eastern,Manafwa,Bunabwana,4455,1346,5801,450,2174,2624,
Eastern,Manafwa,Bupoto,4274,2493,6767,889,2123,3012,
Eastern,Manafwa,Busukuya,4762,1604,6366,361,2511,2872,
Eastern,Manafwa,Butiru,7666,1060,8726,2429,1385,3814,
Eastern,Manafwa,Butta,1666,417,2083,410,522,932,
Eastern,Manafwa,Buwabwala,2847,647,3494,405,1064,1469,
Eastern,Manafwa,Buwagogo,2759,758,3517,324,1222,1546,
Eastern,Manafwa,Kaato,3640,1253,4893,472,1554,2026,
Eastern,Manafwa,Khabutoola,6203,1514,7717,1234,2326,3560,
Eastern,Manafwa,Lwakhakha Town Council,3394,1145,4539,340,1670,2010,
Eastern,Manafwa,Magale,8115,2052,10167,1423,3030,4453,
Eastern,Manafwa,Manafwa Town Council,5223,2057,7280,533,2397,2930,
Eastern,Manafwa,Mukoto,3232,726,3958,368,1332,1700,
Eastern,Manafwa,Nalondo,2743,276,3019,968,392,1360,
Eastern,Manafwa,Namabya,4606,536,5142,1398,943,2341,
Eastern,Manafwa,Namboko,3697,1004,4701,556,1796,2352,
Eastern,Manafwa,Sibanga,2951,855,3806,291,1365,1656,
Eastern,Manafwa,Sisuni,1582,372,1954,252,638,890,
