,,,Orphanhood Status(Below 18 Years),,Disability (2 years and above),,Disability (2-17 Years),,
Region,District,Sub-county,Orphan,NonOrphan,Has a disability,Has no disability,Has a disability,Has no disability,
Western,Isingiro,Kikagate,2129,27166,4797,42260,1051,24955,
Western,Isingiro,Masha,1160,12567,3030,21254,632,11359,
Western,Isingiro,Nyakitunda,1872,22400,4632,33766,991,20278,
Western,Isingiro,Nyamuyanja,655,8198,1098,13513,210,7606,
Western,Isingiro,Ruborogota,706,8830,1380,15056,290,8148,
Western,Isingiro,Oruchinga Refugee Camp,362,1501,435,2528,89,1547,
Western,Isingiro,Isingiro Total,21854,248499,53316,396583,11574,225316,
Western,Kabale,Central Division,520,4773,823,11455,129,4312,
Western,Kabale,Northern Division,559,4648,1889,9335,509,3941,
Western,Kabale,Southern Division,729,6492,1724,13861,274,6012,
Western,Kabale,Buhara,1270,12207,3463,20507,527,11359,
Western,Kabale,Butanda,795,9274,2872,13978,598,8190,
Western,Kabale,Kaharo,922,8729,3833,14487,672,7924,
Western,Kabale,Kamuganguzi,977,10027,2996,16320,567,9118,
Western,Kabale,Katuna Town Council,531,4214,1069,7825,160,4076,
Western,Kabale,Kitumba,1007,8474,2105,15393,378,8082,
Western,Kabale,Kyanamira,996,8806,3149,15644,500,8268,
Western,Kabale,Maziba,866,9947,3804,15976,737,8827,
Western,Kabale,Rubaya,1228,13837,3768,21973,688,12648,
Western,Kabale,Bubaare,1670,15772,3372,28434,486,15119,
Western,Kabale,Bufundi,1174,12699,3907,20090,749,11604,
Western,Kabale,Hamurwa,1168,13795,4499,20465,1170,11828,
Western,Kabale,Hamurwa Town Council,256,2370,907,3811,181,2136,
Western,Kabale,Ikumba,1303,15784,3589,25003,624,14105,
Western,Kabale,Muko,1772,23143,7753,35694,1505,20321,
Western,Kabale,Nyamweru,785,8980,2528,13634,461,8117,
Western,Kabale,Ruhija,418,5521,1163,8082,270,4762,
Western,Kabale,Bukinda,428,4477,2564,6775,675,3711,
Western,Kabale,Kamwezi,1175,12459,3016,21820,519,11452,
Western,Kabale,Kashambya,1179,12627,4343,19811,673,11509,
Western,Kabale,Muhanga Town Council,590,4674,1378,9266,158,4460,
Western,Kabale,Rwamucucu,1196,12385,2937,21998,376,11773,
Western,Kabale,Kabale Total,23514,246114,73451,411637,13586,223654,
Western,Kabarole,Eastern Division,980,7082,1901,15299,272,6746,
Western,Kabarole,Southern Division,720,5296,1236,12881,205,4978,
Western,Kabarole,Western Division,810,6789,1427,14870,240,6292,
Western,Kabarole,Buheesi,2006,18016,4224,29383,839,16735,
Western,Kabarole,Kabonero,832,10604,2423,15461,493,9476,
Western,Kabarole,Katebwa,592,12143,2632,16504,474,10657,
Western,Kabarole,Kibiito,962,9336,2466,15016,373,8668,
Western,Kabarole,Kibiito Town Council,780,5987,1681,10139,287,5697,
Western,Kabarole,Kisomoro,1539,11283,2409,19460,364,10923,
Western,Kabarole,Rubona Town Council,304,2554,670,4577,150,2370,
Western,Kabarole,Rwimi,913,8303,1242,14700,173,7968,
Western,Kabarole,Rwimi Town Council,693,7401,1418,12901,263,6739,
Western,Kabarole,Bukuuku,573,5308,1124,9234,180,5033,
Western,Kabarole,Busoro,1576,11177,2861,21443,410,10787,
Western,Kabarole,Hakibaale,2064,17200,4370,29475,677,16078,
Western,Kabarole,Karago Town Council,570,4403,995,7961,204,4184,
Western,Kabarole,Karambi,1506,11042,3024,21294,486,10591,
Western,Kabarole,Karangura,427,6947,1159,10269,291,6176,
Western,Kabarole,Kasenda,1326,12177,3455,18945,649,11183,
Western,Kabarole,Kicwamba,1816,17212,4611,28143,962,15821,
Western,Kabarole,Kiko Town Council,671,5176,1806,9461,292,4875,
Western,Kabarole,Kijura Town Council,494,4760,1117,8911,182,4380,
