,,,Orphanhood Status(Below 18 Years),,Disability (2 years and above),,Disability (2-17 Years),,
Region,District,Sub-county,Orphan,NonOrphan,Has a disability,Has no disability,Has a disability,Has no disability,
Western,Rubirizi,Kirugu,491,5693,1439,9016,245,5205,
Western,Rubirizi,Kyabakara,658,6680,2247,9493,480,5862,
Western,Rubirizi,Magambo,545,5995,722,10124,193,5669,
Western,Rubirizi,Rubirizirz Town Council,420,3525,1121,6198,222,3311,
Western,Rubirizi,Rutoto,706,6802,1644,10758,263,6517,
Western,Rubirizi,Ryeru,661,7021,1713,10779,337,6596,
Western,Rubirizi,Rubirizi Total,6401,65423,16899,102888,3358,60191,
Western,Rukungiri,Buyanja,1966,16492,4621,29247,760,15734,
Western,Rukungiri,Kebisoni,1592,12101,2372,21895,400,11929,
Western,Rukungiri,Nyakishenyi,1880,17312,3440,28249,522,16380,
Western,Rukungiri,Nyarushanje,2098,21086,5171,36127,684,19866,
Western,Rukungiri,Bugangari,1489,14757,3429,24442,600,13721,
Western,Rukungiri,Buhunga,1312,10798,3527,17320,736,10133,
Western,Rukungiri,Bwambara,1512,14026,2463,23954,471,13023,
Western,Rukungiri,Nyakagyeme,1870,14750,3453,26499,495,14399,
Western,Rukungiri,Ruhinda,1451,12886,3309,20775,482,12257,
Western,Rukungiri,Eastern Divison,635,4940,1054,9692,166,4825,
Western,Rukungiri,Southern Division,472,3450,897,7177,224,3243,
Western,Rukungiri,Western Division,709,5667,1193,11533,230,5356,
Western,Rukungiri,Rukungiri Total,16986,148265,34929,256910,5770,140866,
Western,Sheema,Kashozi,592,6490,1372,11678,235,6057,
Western,Sheema,Bugongi Town Council,548,5345,1729,9099,449,4785,
Western,Sheema,Kabwohe Itendero T. C.,783,7790,1724,16111,279,7224,
Western,Sheema,Kagango,991,9094,2406,16207,406,8665,
Western,Sheema,Kasaana,689,8378,1895,14094,391,7772,
Western,Sheema,Kigarama,1012,9750,1823,17818,401,9194,
Western,Sheema,Rugarama,391,5013,791,8656,158,4732,
Western,Sheema,Kitagata,735,8418,2137,14743,375,7792,
Western,Sheema,Kyangyenyi,1458,14225,4466,24142,732,13344,
Western,Sheema,Masheruka,809,7305,1388,13859,230,6998,
Western,Sheema,Shuuku,492,5396,695,10112,106,5128,
Western,Sheema,Sheema Town Council,807,7091,1190,14044,199,6851,
Western,Sheema,Sheema Total,9307,94295,21616,170563,3961,88542,
Northern,Abim,Abim,1358,6055,2116,9493,790,5834,
Northern,Abim,Abim Town Council,1429,8310,2529,13515,968,7803,
Northern,Abim,Alerek,1655,8899,3026,13247,1216,8220,
Northern,Abim,Lotukei,2147,11242,4005,17441,1588,10514,
Northern,Abim,Morulem,1632,11915,3710,17271,1267,10695,
Northern,Abim,Nyakwae,1047,8057,1633,12200,575,7466,
Northern,Abim,Abim Total,9268,54478,17019,83167,6404,50532,
Northern,Adjumani,Adjumani Town Council,2467,16398,1827,31168,508,16325,
Northern,Adjumani,Adropi,667,5984,1269,9244,385,5351,
Northern,Adjumani,Arinyapi,917,5761,1824,8920,615,5140,
Northern,Adjumani,Ciforo,809,7302,1733,11578,519,6481,
Northern,Adjumani,Dzaipi,3865,22378,4173,34139,1138,21333,
Northern,Adjumani,Itirikwa,1315,9202,2174,13393,716,8312,
Northern,Adjumani,Ofua,1068,7372,1543,11314,512,6781,
Northern,Adjumani,Ukusijoni,655,6196,1417,8933,491,5421,
Northern,Adjumani,Pacara,1494,8391,1560,14271,478,8333,
Northern,Adjumani,Pakele,5037,26122,3434,41720,1001,25998,
Northern,Adjumani,Adjumani Total,18294,115106,20954,184680,6363,109475,
Northern,Agago,Adilang,1508,10711,15169,3505,9500,1172,
Northern,Agago,Agago Town Council,408,3141,4910,532,2852,179,
Northern,Agago,Arum,821,6369,8915,1896,5649,587,
Northern,Agago,Kalongo Town Council,846,5143,8931,1232,5031,283,
Northern,Agago,Kotomol,862,6397,9783,1916,5890,568,
Northern,Agago,Lamiyo,556,4513,6316,1523,3983,446,
Northern,Agago,Lapono,1377,12054,17242,3067,10684,1006,
Northern,Agago,Lira Palwo,1133,8733,12729,2330,7916,717,
Northern,Agago,Lokole,1114,8337,12007,2233,7488,662,
Northern,Agago,Omiya Pacwa,525,6417,8856,1703,5495,461,
Northern,Agago,Omot,1123,6877,9818,2495,6195,762,
Northern,Agago,Paimol,1470,10791,17074,2305,10125,613,
Northern,Agago,Parabongo,715,6201,8731,1843,5568,531,
Northern,Agago,Patongo,705,5896,8423,1746,5110,669,
Northern,Agago,Patongo Town Council,840,5534,8965,1500,5143,459,
Northern,Agago,Wol,1436,12471,17799,3673,10961,1130,
Northern,Agago,Agago Total,15439,119585,175668,33499,107590,10245,
Northern,Alebtong,Abako,1490,12412,4299,18290,1360,10847,
Northern,Alebtong,Abia,1447,12022,3593,18126,1272,10527,
Northern,Alebtong,Akura,1495,11761,4083,17528,1164,10565,
Northern,Alebtong,Alebtong Town Council,422,3183,1376,4739,488,2700,
Northern,Alebtong,Aloi,2048,15513,4516,24304,1296,14388,
Northern,Alebtong,Amugu,1738,14420,4224,21437,1199,12993,
Northern,Alebtong,Apala,1216,9858,3041,15312,1088,8728,
Northern,Alebtong,Awei,1763,14871,4063,22655,1279,13487,
Northern,Alebtong,Omoro,2466,22731,7330,32539,2413,19480,
Northern,Alebtong,Alebtong Total,14085,116771,36525,174930,11559,103715,
Northern,Amolatar,Agikdak,505,5730,2269,7881,706,4845,
Northern,Amolatar,Agwingiri,772,7711,3160,10844,1024,6475,
Northern,Amolatar,Akwon,364,4099,1507,5726,529,3484,
Northern,Amolatar,Amolatar Town Council,583,5345,1824,8321,510,4794,
Northern,Amolatar,Aputi,779,7878,2620,11269,744,6887,
Northern,Amolatar,Arwotcek,839,8796,3011,12530,690,7817,
Northern,Amolatar,Awelo,667,5956,2907,7892,985,4883,
Northern,Amolatar,Etam,777,7852,2544,11248,773,6972,
Northern,Amolatar,Muntu,678,7029,3132,9203,1010,5859,
Northern,Amolatar,Namasale,950,9759,3710,14921,1022,8388,
Northern,Amolatar,Namasale Town Council,568,4401,1839,7480,480,3790,
Northern,Amolatar,Amolatar Total,7482,74556,28523,107315,8473,64194,
Northern,Amudat,Amudat,778,15366,16144,2240,21435,786,13809
Northern,Amudat,Amudat Town Council,645,5996,6641,877,10195,219,5813
Northern,Amudat,Karita,769,17381,18150,1682,26088,539,15849
Northern,Amudat,Loroo,1146,19218,20364,1416,27020,439,18197
Northern,Amudat,Amudat Total,3338,57961,61299,6215,84738,1983,53668
Northern,Amuru,Amuru,2138,23420,6303,32376,2129,19900,
Northern,Amuru,Amuru Town Council,466,5261,1164,7337,390,4571,
Northern,Amuru,Attiak,2163,16315,4825,25965,1280,14923,
Northern,Amuru,Lamogi,2567,24806,5410,37708,1697,22601,
Northern,Amuru,Pabo,2946,30071,6820,43190,2053,26731,
Northern,Amuru,Amuru Total,10280,99873,24522,146576,7549,88726,
Northern,Apac,Abongomola,1568,18154,5628,26381,1610,15944,
Northern,Apac,Aduku,1695,14740,7306,20479,2322,12412,
Northern,Apac,Aduku Town Council,445,3287,1661,5186,485,2820,
Northern,Apac,Chawente,1766,17618,6920,24619,2429,14631,
Northern,Apac,Inomo,1487,15033,5235,22541,1691,12994,
Northern,Apac,Nambieso,2727,25580,9134,35660,3034,21841,
Northern,Apac,Akokoro,1982,20927,6498,32371,1771,18472,
Northern,Apac,Apac,3068,26823,10659,38573,3435,23125,
Northern,Apac,Apac Town Council,791,5898,1720,10959,411,5627,
Northern,Apac,Chegere,2163,17745,9834,23381,3371,14286,
Northern,Apac,Ibuje,2125,20898,9792,27684,3489,16909,
Northern,Apac,Apac Total,19817,186703,74387,267834,24048,159061,
Northern,Arua,Arua Hill   Division,994,7148,1754,13366,442,6927,
Northern,Arua,River Oli Division,2473,21411,2867,37324,858,20359,
Northern,Arua,Adumi,1428,16019,2460,25982,638,14522,
Northern,Arua,Aroi,1295,12063,2513,20324,493,11358,
Northern,Arua,Ayivuni,1155,11601,2204,18837,504,10634,
Northern,Arua,Dadamu,2349,20322,3604,34903,880,19309,
Northern,Arua,Manibe,1529,14604,3050,24216,671,13476,
Northern,Arua,Oluko,1815,18849,3998,31793,844,17419,
Northern,Arua,Pajulu,3123,30101,4429,51325,1190,28010,
Northern,Arua,Anyiribu,304,3944,1826,5537,485,3227,
Northern,Arua,Ewanga,256,4625,1123,6549,298,3945,
Northern,Arua,Offaka,770,9721,2936,14797,575,8491,
Northern,Arua,Ogoko,594,9055,1656,15747,314,8093,
Northern,Arua,Okollo,654,8887,4860,11690,1289,7009,
Northern,Arua,Pawor,370,5232,1591,7251,398,4277,
Northern,Arua,Rhino Camp,972,12011,2553,19442,515,10830,
Northern,Arua,Rigbo,959,13502,3175,20846,599,12003,
Northern,Arua,Uleppi,371,4429,1467,6684,413,3757,
Northern,Arua,Aii-Vu,1975,20415,4286,32997,1064,18430,
Northern,Arua,Bileafe,1027,10903,2608,17158,527,9840,
Northern,Arua,Katrini,1468,16462,3578,25995,758,14960,
Northern,Arua,Omugo,1928,22396,5343,34921,1403,19719,
Northern,Arua,Odupi,1611,19930,3233,32567,802,17901,
Northern,Arua,Uriama,1150,11895,3129,18450,816,10394,
Northern,Arua,Ajia,991,13871,1953,23330,477,12413,
Northern,Arua,Arivu,1108,11877,2924,18711,650,10642,
Northern,Arua,Logiri,1753,19573,4983,29583,1245,17365,
Northern,Arua,Vurra,2092,21835,4005,37137,763,20464,
Northern,Arua,Arua Total,36514,392681,84108,637462,19911,355774,
Northern,Dokolo,Adeknino,866,8706,4085,10861,1239,7185,
Northern,Dokolo,Adok,971,9406,2361,14344,624,8548,
Northern,Dokolo,Agwata,1237,10763,2861,16756,758,9902,
Northern,Dokolo,Amwoma,771,7481,2004,11577,483,6828,
Northern,Dokolo,Batta,959,9618,2983,14318,884,8533,
Northern,Dokolo,Dokolo,894,8344,2891,11801,908,7179,
Northern,Dokolo,Dokolo Town Council,1198,9694,3001,15544,841,8779,
Northern,Dokolo,Kangai,917,9024,3751,12071,1213,7568,
Northern,Dokolo,Kwera,681,7025,2151,10291,619,6200,
Northern,Dokolo,Okwalongwen,739,7497,2559,10901,651,6596,
Northern,Dokolo,Okwongodul,623,7230,2059,10574,621,6346,
Northern,Dokolo,Dokolo Total,9856,94788,30706,139038,8841,83664,
Northern,Gulu,Bar Dege Division,2346,15787,30138,3364,15315,864,
Northern,Gulu,Laroo Division,1685,10318,22237,2264,10073,522,
Northern,Gulu,Layibi Division,2184,15315,30469,3153,14655,802,
Northern,Gulu,Pece Division,3199,18599,37918,3784,18106,1021,
Northern,Gulu,Awach,1368,9927,14448,3080,9005,944,
Northern,Gulu,Bungatira,2223,16159,27057,3701,15315,1001,
Northern,Gulu,Paicho,1717,12826,20551,2070,12052,672,
Northern,Gulu,Palaro,846,6941,10439,1726,6370,473,
Northern,Gulu,Patiko,917,10133,14368,2636,8981,721,
Northern,Gulu,Unyama,1111,8510,13553,2278,7811,648,
Northern,Gulu,Bobi,1823,14672,22450,4502,13181,1354,
Northern,Gulu,Koro,1854,13563,21260,4343,12477,1178,
Northern,Gulu,Lakwana,982,9959,15284,2247,9088,623,
Northern,Gulu,Lalogi,1694,15545,23321,4207,13939,1200,
Northern,Gulu,Odek,1924,16304,24593,4641,14708,1432,
Northern,Gulu,Ongako,1668,11203,17800,3811,10343,1027,
Northern,Gulu,Gulu Total,27541,205761,345886,51807,191419,14482,
Northern,Kaabong,Kaabong East,856,4473,672,8459,169,4801,
Northern,Kaabong,Kaabong Town Council,965,4854,1428,9195,368,4761,
Northern,Kaabong,Kaabong West,1027,6079,1694,10882,380,6138,
Northern,Kaabong,Kalapata,1484,12260,1597,21301,274,12476,
Northern,Kaabong,Kamion,314,3005,915,4883,263,2750,
Northern,Kaabong,Kapedo,890,7178,1645,12089,292,6960,
Northern,Kaabong,Kathile,1233,10133,1737,17708,458,9835,
Northern,Kaabong,Kawalakol,741,7790,972,12164,167,7347,
Northern,Kaabong,Lobalangit,393,4058,637,6473,158,3743,
Northern,Kaabong,Lodiko,656,3017,778,5273,224,3138,
Northern,Kaabong,Lolelia,496,3871,921,6339,182,3753,
Northern,Kaabong,Loyoro,284,1645,411,2929,78,1693,
Northern,Kaabong,Napore Karenga,842,7435,1746,11879,471,6936,
Northern,Kaabong,Sidok,957,5912,1908,10400,371,5838,
Northern,Kaabong,Kaabong Total,11138,81710,17061,139974,3855,80169,
Northern,Kitgum,Central Division,1576,12695,21134,3353,11728,745,
Northern,Kitgum,Pager Division,2225,16746,27299,5164,15277,1408,
Northern,Kitgum,Labongo Akwang,2289,16409,28196,4228,15339,1095,
Northern,Kitgum,Labongo Amida,578,4264,6581,1194,3903,309,
Northern,Kitgum,Labongo Layamo,150,1556,2239,442,1407,100,
Northern,Kitgum,Lagoro,611,6259,9230,1610,5576,477,
Northern,Kitgum,Mucwini,1463,10617,16089,3604,9568,1056,
Northern,Kitgum,Namokora,838,7383,11590,1604,6887,390,
Northern,Kitgum,Omiya Anyima,1283,11136,16254,3286,10042,920,
Northern,Kitgum,Orom,1585,14915,21578,4087,13367,1121,
Northern,Kitgum,Kitgum Total,12598,101980,160190,28572,93094,7621,
Northern,Koboko,Northern Divison,991,10104,16041,1574,9359,679,
Northern,Koboko,Southern Division,92,1421,2201,332,1223,119,
Northern,Koboko,Western Division,1420,15289,24926,2272,14026,782,
Northern,Koboko,Abuku,555,8068,12021,1467,7164,407,
Northern,Koboko,Dranya,547,6812,10157,1849,6132,363,
Northern,Koboko,Kuluba,1394,21231,33913,3393,18659,842,
Northern,Koboko,Lobule,1459,18613,26585,4698,16628,1136,
Northern,Koboko,Ludara,1072,17347,24799,4245,14572,1258,
Northern,Koboko,Midia,1009,11441,17883,1930,10353,480,
Northern,Koboko,Koboko Total,8539,110326,168526,21760,98116,6066,
Northern,Kole,Aboke,2575,23439,8082,35352,2409,20632,
Northern,Kole,Akalo,1842,14337,4259,22581,1227,13085,
Northern,Kole,Alito,2120,20448,8150,27756,2328,17289,
Northern,Kole,Ayer,1855,18203,5317,27999,1586,16332,
Northern,Kole,Bala,2278,23738,6050,36321,1971,20916,
Northern,Kole,Kole Town Council,502,4250,1146,7068,339,3857,
Northern,Kole,Okwerodot,1710,18415,5831,25859,1820,15633,
Northern,Kole,Kole Total,12882,122830,38835,182936,11680,107744,
Northern,Kotido,Kacheri,1305,16213,1917,26152,544,15112,
Northern,Kotido,Kotido,1934,17119,1896,28473,431,16677,
Northern,Kotido,Kotido Town Council,893,6390,1088,11433,242,6165,
Northern,Kotido,Nakapelimoru,1020,11141,1666,17979,361,10364,
Northern,Kotido,Panyangara,2195,18619,2647,32226,630,18067,
Northern,Kotido,Rengen,1746,19448,2258,30885,640,18503,
Northern,Kotido,Kotido Total,9093,88930,11472,147148,2848,84888,
Northern,Lamwo,Agoro,961,10071,3636,13329,1118,8479,
Northern,Lamwo,Lamwo Town Council,460,4096,1169,6207,296,3732,
Northern,Lamwo,Palabek Gem,1024,7696,3977,9965,1353,6236,
Northern,Lamwo,Madi  Opei,708,6109,1853,9171,491,5537,
Northern,Lamwo,Padibe West,773,6570,1736,9812,501,5978,
Northern,Lamwo,Lokung,823,8875,2656,12626,863,7563,
Northern,Lamwo,Padibe East,501,4921,1215,7332,367,4358,
Northern,Lamwo,Palabek Kal,777,7425,2508,10907,619,6598,
Northern,Lamwo,Palabek Ogili,579,4811,1416,7368,405,4294,
Northern,Lamwo,Paloga,516,4857,858,7626,224,4496,
Northern,Lamwo,Padibe Town Council,560,4981,1577,7492,369,4586,
Northern,Lamwo,Lamwo Total,7682,70412,22601,101835,6606,61857,
Northern,Lira,Adyel Division,1943,12302,2531,25839,647,11928,
Northern,Lira,Central Division,1358,8664,2430,18565,579,8237,
Northern,Lira,Ojwina Division,2200,15135,3526,31254,901,14250,
Northern,Lira,Railway Division,453,2275,1068,4368,315,2076,
Northern,Lira,Adekokwok,2389,18171,6976,29606,2054,16242,
Northern,Lira,Agali,1290,12823,5164,17886,1481,10860,
Northern,Lira,Agweng,1662,14810,4907,21539,1611,12753,
Northern,Lira,Amach,2006,17588,6309,25995,1868,15553,
Northern,Lira,Aromo,1637,17167,5442,24208,1731,14545,
Northern,Lira,Barr,2711,21805,8650,32357,2459,19229,
Northern,Lira,Lira,2227,16752,4549,28153,1432,15376,
Northern,Lira,Ngetta,2022,15693,5831,24201,1772,13912,
Northern,Lira,Ogur,2005,18614,4322,28967,1363,16709,
Northern,Lira,Lira Total,23903,191799,61705,312938,18213,171670,
Northern,Maracha,Kijomoro,1401,15857,3653,24141,802,14305,
Northern,Maracha,Maracha Town Council,473,4813,1865,6712,561,4029,
Northern,Maracha,Nyadri,912,10067,3464,14374,702,8927,
Northern,Maracha,Oleba,1489,16750,3733,25807,784,15036,
Northern,Maracha,Oluffe,1106,12237,3254,18385,689,10818,
Northern,Maracha,Oluvu,1583,15388,3660,23607,846,13895,
Northern,Maracha,Tara,756,9013,2603,13072,765,7769,
Northern,Maracha,Yivu,1137,13207,3219,20238,705,11875,
Northern,Maracha,Maracha Total,8857,97332,25451,146336,5854,86654,
Northern,Moyo,Aliba,797,9396,1299,14048,364,8737,
Northern,Moyo,Gimara,526,7074,1418,10793,341,6272,
Northern,Moyo,Itula,789,6446,1148,11099,294,6095,
Northern,Moyo,Difule,919,5178,1156,8905,350,5107,
Northern,Moyo,Laropi,556,4693,885,8024,236,4389,
Northern,Moyo,Lefori,552,6565,1381,10145,435,5832,
Northern,Moyo,Metu,2213,12449,3971,22591,1116,12156,
Northern,Moyo,Moyo,1322,11577,2769,19736,679,10698,
Northern,Moyo,Moyo Town Council,704,4632,648,9058,183,4584,
Northern,Moyo,Moyo Total,8378,68010,14675,114399,3998,63870,
Northern,Nakapiripirit ,Loregae,1015,12278,1182,19657,297,11646,
Northern,Nakapiripirit ,Moruita,710,7282,1074,13266,267,7051,
Northern,Nakapiripirit ,Nakapiripirit Town Council,253,1649,168,3262,35,1609,
Northern,Nakapiripirit ,Namalu,1790,13423,2291,22972,674,12766,
Northern,Nakapiripirit ,Kakomongole,1067,8348,1198,13993,300,8127,
Northern,Nakapiripirit ,Lolachat,2082,17230,2470,27054,841,16873,
Northern,Nakapiripirit ,Lorengedwat,743,3216,652,5530,160,3341,
Northern,Nakapiripirit ,Nabilatuk,2599,13267,2633,21571,825,13674,
Northern,Nakapiripirit ,Nakapiripirit Total,10259,76693,11668,127305,3399,75087,
Northern,Napak,Iriiri,2897,22301,2772,36971,798,21846,
Northern,Napak,Lorengecora,583,5553,949,8392,233,5056,
Northern,Napak,Lotome,1057,5229,1647,8771,513,5129,
Northern,Napak,Matany,1250,10470,1231,19327,205,10238,
Northern,Napak,Napak Town Council,354,2340,308,4000,66,2249,
Northern,Napak,Ngoleriet,1410,8184,1259,14681,173,8517,
Northern,Napak,Lokopo,1076,11063,1414,18268,243,10476,
Northern,Napak,Lopeei,940,6897,894,11553,137,6948,
Northern,Napak,Napak Total,9567,72037,10474,121963,2368,70459,
Northern,Nebbi,Alwi,796,9547,3901,12773,1125,7649,
Northern,Nebbi,Pakwach,1315,10568,4376,14835,1341,8877,
Northern,Nebbi,Pakwach Town Council,1582,10837,6750,14746,2400,8782,
Northern,Nebbi,Panyango,1668,14749,2923,23074,790,13336,
Northern,Nebbi,Panyimur,2340,20735,6130,32326,1904,18005,
Northern,Nebbi,Wadelai,1071,12580,3300,18487,902,10820,
Northern,Nebbi,Akworo,1094,13570,3700,19526,1007,11588,
Northern,Nebbi,Atego,453,5299,2502,6616,749,4171,
Northern,Nebbi,Erussi,1835,18782,4144,28346,1186,16946,
Northern,Nebbi,Kucwiny,1553,16659,6839,22637,2192,13552,
Northern,Nebbi,Ndhew,929,11336,1736,17612,525,10084,
Northern,Nebbi,Nebbi,1194,12375,4060,18591,1118,10720,
Northern,Nebbi,Nebbi Town Council,2001,16513,4368,27996,1182,15091,
Northern,Nebbi,Nyaravur,993,10179,2893,15702,568,9174,
Northern,Nebbi,Parombo,1733,18384,3474,29077,1011,16551,
Northern,Nebbi,Nebbi Total,20557,202113,61096,302344,18000,175346,
Northern,Nwoya,Alero,2433,22131,6401,31635,1981,19181,
Northern,Nwoya,Anaka Payira,816,5789,2850,7420,1011,4712,
Northern,Nwoya,Koch-Goma,2206,18340,6963,25338,2321,15335,
Northern,Nwoya,Anaka Town Council,974,6638,2413,9938,839,5774,
Northern,Nwoya,Purongo,1764,15787,7781,20598,2762,12273,
Northern,Nwoya,Nwoya Total,8193,68685,26408,94929,8914,57275,
Northern,Otuke,Adwari,754,5109,2289,7145,731,4377,
Northern,Otuke,Alango,913,6081,3041,8378,1006,5124,
Northern,Otuke,Ogor,1064,7143,2250,11128,762,6437,
Northern,Otuke,Ogwette,942,7934,3164,10851,1049,6560,
Northern,Otuke,Okwang,1476,11300,4673,15627,1517,9616,
Northern,Otuke,Olilim,936,6855,3460,9133,1096,5693,
Northern,Otuke,Orum,745,4971,2464,6838,781,4213,
Northern,Otuke,Otuke Town Council,507,2802,820,4897,215,2707,
Northern,Otuke,Otuke Total,7337,52195,22161,73997,7157,44727,
Northern,Oyam,Aber,1699,17574,3960,27078,1106,15910,
Northern,Oyam,Abok,926,9213,3416,12852,1123,7747,
Northern,Oyam,Acaba,1460,14514,5449,20754,1764,12358,
Northern,Oyam,Aleka,1680,15462,5077,22376,1527,13514,
Northern,Oyam,Iceme,2719,24024,6727,36497,1986,21374,
Northern,Oyam,Kamdini,2258,20869,5584,31861,1566,18507,
Northern,Oyam,Loro,3015,27542,7875,42714,2378,24474,
Northern,Oyam,Minakulu,2048,19985,5872,29402,1906,17552,
Northern,Oyam,Myene,1375,14804,3461,21990,1089,12986,
Northern,Oyam,Ngai,1527,15024,5480,21442,1463,13089,
Northern,Oyam,Otwal,1396,13416,3451,20870,1059,12026,
Northern,Oyam,Oyam Town Council,591,5576,2322,8278,675,4743,
Northern,Oyam,Oyam Total,20694,198003,58674,296114,17642,174280,
Northern,Pader,Acholibur,1084,7069,2351,10760,687,6567,
Northern,Pader,Angagura,662,4515,1983,6400,648,3941,
Northern,Pader,Atanga,1050,7899,3335,10973,1059,6764,
Northern,Pader,Awere,1531,9888,3478,14537,1088,8994,
Northern,Pader,Laguti,1114,6846,3236,9229,994,5958,
Northern,Pader,Lapul,1240,9242,2712,14284,884,8391,
Northern,Pader,Latanya,1161,7878,2605,11454,779,7166,
Northern,Pader,Ogom,491,4315,1583,6230,546,3669,
Northern,Pader,Pader,674,4637,1521,7254,475,4169,
Northern,Pader,Pader Town Council,1021,6008,1814,10062,552,5683,
Northern,Pader,Pajule,1723,11563,4118,17118,1164,10720,
Northern,Pader,Puranga,1372,9829,2967,14505,983,8793,
Northern,Pader,Pader Total,13123,89689,31703,132806,9859,80815,
Northern,Yumbe,Apo,3453,23590,2753,35113,794,23905,
Northern,Yumbe,Ariwa,1196,13931,1808,20591,414,13200,
Northern,Yumbe,Drajini,2341,17379,4003,25129,1299,16329,
Northern,Yumbe,Kei,3435,26591,3570,38814,1140,25703,
Northern,Yumbe,Kerwa,1410,18442,2630,27749,764,17163,
Northern,Yumbe,Kochi,2907,23646,2907,35819,1047,22967,
Northern,Yumbe,Kululu,3271,19908,2561,31037,858,20106,
Northern,Yumbe,Kuru,2791,22969,2415,35315,1077,22352,
Northern,Yumbe,Lodonga,2735,17371,1510,28161,467,17851,
Northern,Yumbe,Midigo,3601,21674,1606,33067,578,22796,
Northern,Yumbe,Odravu,2431,23424,2464,36885,609,22539,
Northern,Yumbe,Romogi,4554,25125,2842,38849,1125,26617,
Northern,Yumbe,Yumbe Town Council,2327,19701,1840,30403,778,19159,
Northern,Yumbe,Yumbe Total,36452,273751,32909,416932,10950,270687,
Northern,Zombo,Abanga,834,9505,2668,13660,645,8424,
Northern,Zombo,Atyak,997,11963,3391,16957,763,10476,
Northern,Zombo,Jangokoro,1317,17107,4821,23993,1067,15049,
Northern,Zombo,Kango,1589,18780,4775,27380,892,16855,
Northern,Zombo,Nyapea,1021,11033,3720,15682,869,9541,
Northern,Zombo,Paidha,774,7955,2896,11292,788,6881,
Northern,Zombo,Paidha T.C*,1992,15332,4727,24357,1406,13868,
Northern,Zombo,Warr,893,9859,3800,13581,904,8523,
Northern,Zombo,Zeu,1788,18895,6010,26677,1615,16553,
Northern,Zombo,Zombo T.C,620,6399,1654,9493,465,5649,
Northern,Zombo,Zombo Total,11825,126828,38462,183072,9414,111819,
Central,Buikwe,Central Division,1557,15846,1914,31963,367,14935,
Central,Buikwe,Kawolo Division,1815,19727,3944,33418,664,18486,
Central,Buikwe,Najjembe Division,1369,15977,4409,25905,809,14678,
Central,Buikwe,Buikwe,866,9638,2618,14234,495,8898,
Central,Buikwe,Buikwe Town Council,823,8456,1420,13913,277,7983,
Central,Buikwe,Najja,2122,22967,4647,35954,977,21015,
Central,Buikwe,Ngogwe,1815,18235,4153,28473,731,17191,
Central,Buikwe,Njeru Town Council,2958,30839,5654,56741,1299,28327,
Central,Buikwe,Nkokonjeru Town Council,443,4058,1044,6767,255,3704,
Central,Buikwe,Nyenga,2042,26159,6483,39212,1155,23676,
Central,Buikwe,Ssi-Bukunja,1225,12595,3984,19619,761,11251,
Central,Buikwe,Wakisi,1660,20679,4509,33570,886,18940,
Central,Buikwe,Buikwe Total,18695,205176,44779,339769,8676,189084,
Central,Bukomansimbi,Bigasa,2064,22575,4640,34305,818,20940,
Central,Bukomansimbi,Bukomansimbi  Town Council,491,4711,1036,7862,200,4390,
Central,Bukomansimbi,Butenga,2035,19972,3817,32196,516,19279,
Central,Bukomansimbi,Kibinge,1839,16592,3214,27462,583,15936,
Central,Bukomansimbi,Kitanda,1302,15243,3801,22684,845,13917,
Central,Bukomansimbi,Bukomansimbi Total,7731,79093,16508,124509,2962,74462,
Central,Butambala,Budde,650,7134,889,11830,178,6732,
Central,Butambala,Bulo,995,10106,1177,16245,203,9767,
Central,Butambala,Gombe Town Council,739,8227,877,13545,148,7838,
Central,Butambala,Kalamba,913,10448,641,17634,115,10181,
Central,Butambala,Kibibi,626,7588,1030,12134,205,7091,
Central,Butambala,Ngando,852,10513,1154,16237,187,10011,
Central,Butambala,Butambala Total,4775,54016,5768,87625,1036,51620,
Central,Buvuma,Bugaya,164,1849,2516,1837,816,827,
Central,Buvuma,Busamuzi,589,8286,2688,12123,565,6909,
Central,Buvuma,Buvuma Town Council,291,4757,1385,7480,300,3876,
Central,Buvuma,Buwooya,414,6565,2086,8622,621,5303,
Central,Buvuma,Bweema,228,3534,1301,6617,175,2816,
Central,Buvuma,Lubya,218,2404,1072,4647,202,1936,
Central,Buvuma,Lwajje,107,1364,586,3191,64,1067,
Central,Buvuma,Lyabaana,70,1351,2271,3011,276,740,
Central,Buvuma,Nairambi,506,9356,2631,14870,560,7703,
Central,Buvuma,Buvuma Total,2587,39466,16536,62398,3579,31177,
Central,Gomba,Kabulasoke,2531,26137,5564,40580,1003,24309,
Central,Gomba,Kanoni Town Council,599,6143,1312,10009,265,5677,
Central,Gomba,Kyegonza,1580,15996,3691,24398,677,14844,
Central,Gomba,Maddu,1649,17387,4450,28035,780,15747,
Central,Gomba,Mpenja,1767,16309,3569,26247,520,15466,
Central,Gomba,Gomba Total,8126,81972,18586,129269,3245,76043,
Central,Kalangala,Bujumba,319,3483,1333,8837,142,2818,
Central,Kalangala,Kalangala Town Council,222,1675,655,3589,119,1453,
Central,Kalangala,Mugoye,548,4613,1314,9389,228,4011,
Central,Kalangala,Bubeke,97,1230,716,3479,104,888,
Central,Kalangala,Bufumira,229,3110,1494,7037,175,2361,
Central,Kalangala,Kyamuswa,103,1397,979,3055,135,1009,
Central,Kalangala,Mazinga,88,1005,769,3632,63,713,
Central,Kalangala,Kalangala Total,1606,16513,7260,39018,966,13253,
