Region,District,Sub-county,Attending School,Not attending,Never  been to School,Primary,Secondary and above,Total,Literate,Not Literate
Eastern,Kibuku,Kadama,4139,388,1794,4872,2859,9525,5011,3104
Eastern,Kibuku,Kagumu,5670,699,1663,7620,3248,12531,6402,4152
Eastern,Kibuku,Kasasira,4577,760,1948,5991,2010,9949,4412,4005
Eastern,Kibuku,Kibuku,2594,378,1101,3293,1442,5836,2750,2194
Eastern,Kibuku,Kibuku Town Council,1682,207,622,2043,1338,4003,2058,1397
Eastern,Kibuku,Kirika,4938,641,1661,6114,2960,10735,5299,3750
Eastern,Kibuku,Tirinyi,6376,862,2437,8503,3783,14723,6936,5608
Eastern,Kibuku,Kibuku Total,41674,5144,15352,53320,24743,93415,46101,33209
Eastern,Kumi,Northern Division,3498,344,1182,4749,3603,9534,5801,2405
Eastern,Kumi,Southern Division,3737,229,963,4768,4159,9890,6307,2133
Eastern,Kumi,Atutur,4412,354,1318,6401,3095,10814,6172,3057
Eastern,Kumi,Kanyum,9014,1115,2413,12729,4854,19996,10951,6155
Eastern,Kumi,Kumi,3714,415,1347,5275,2201,8823,4952,2604
Eastern,Kumi,Mukongoro,9786,1138,3041,13521,5765,22327,11823,7061
Eastern,Kumi,Nyero,7100,752,2067,9276,4443,15786,9120,4242
Eastern,Kumi,Ongino,8258,1411,4099,12159,4613,20871,10539,7272
Eastern,Kumi,Kumi Total,49519,5758,16430,68878,32733,118041,65665,34929
Eastern,Kween,Benet,2427,286,718,2610,2099,5427,2818,1790
Eastern,Kween,Binyiny,1039,98,343,1291,919,2553,1398,759
Eastern,Kween,Binyiny Town Council,637,76,205,794,761,1760,949,523
Eastern,Kween,Kaproron,1007,100,252,1177,1154,2583,1590,631
Eastern,Kween,Kaptoyoy,1721,111,371,1920,2129,4420,2643,1123
Eastern,Kween,Kaptum,1839,153,549,1799,2410,4758,3002,999
Eastern,Kween,Kiriki,806,92,361,1420,1009,2790,1718,795
Eastern,Kween,Kitawoi,1615,259,522,1818,1226,3566,1845,1121
Eastern,Kween,Kwanyiy,2190,233,521,2629,1714,4864,2718,1362
Eastern,Kween,Kwosir,2612,291,699,2897,1870,5466,2736,1836
Eastern,Kween,Moyok,1101,143,318,1343,1249,2910,1725,788
Eastern,Kween,Ngenge,5674,1767,380,1253,3043,1750,6046,3138
Eastern,Kween,Kween Total,18761,2222,6112,22741,18290,47143,26280,13946
Eastern,Luuka,Bukanga,8987,891,2819,10595,6453,19867,11774,4916
Eastern,Luuka,Bukooma,8131,1237,3195,9786,5734,18715,10025,5666
Eastern,Luuka,Bulongo,6132,632,1928,7048,4308,13284,7388,3748
Eastern,Luuka,Ikumbya,6796,1380,3151,8735,3815,15701,7925,5328
Eastern,Luuka,Irongo,5909,444,1685,6584,4343,12612,7350,3196
Eastern,Luuka,Luuka Town Council,2098,164,476,2049,2509,5034,3357,944
Eastern,Luuka,Nawampiti,4503,497,1441,5703,3183,10327,6084,2561
Eastern,Luuka,Waibuga,7743,861,2396,9031,6288,17715,10756,4188
Eastern,Luuka,Luuka Total,50299,6106,17091,59531,36633,113255,64659,30547
Eastern,Manafwa,Bubutu,4951,522,875,7106,3073,11054,5873,3546
Eastern,Manafwa,Bugobero,2785,267,436,4387,1761,6584,3758,1833
Eastern,Manafwa,Bukhabusi,2072,194,540,3090,1306,4936,2731,1466
Eastern,Manafwa,Bukhaweka,1831,147,468,2750,1369,4587,2746,1194
