Region,District,Sub-county,Attending School,Not attending,Never  been to School,Primary,Secondary and above,Total,Literate,Not Literate
Eastern,Manafwa,Nalondo,1168,110,285,1820,914,3019,1830,755
Eastern,Manafwa,Namabya,2130,321,545,3111,1486,5142,2868,1512
Eastern,Manafwa,Namboko,2328,208,445,3045,1211,4701,2510,1477
Eastern,Manafwa,Sibanga,1555,121,341,2381,1084,3806,2046,1222
Eastern,Manafwa,Sisuni,812,105,200,1337,417,1954,1009,682
Eastern,Manafwa,Tsekululu,3353,239,799,5552,1870,8221,4567,2532
Eastern,Manafwa,Weswa,1560,124,359,2558,919,3836,2131,1121
Eastern,Manafwa,Manafwa Total,74186,6755,15597,108739,50002,174338,98577,50683
Eastern,Mayuge,Baitambogwe,7457,682,2930,8895,8080,19905,12352,4635
Eastern,Mayuge,Bukabooli,9497,1369,4077,11676,3612,19365,8962,7535
Eastern,Mayuge,Bukatube,7908,1387,4176,10615,4505,19296,9646,7038
Eastern,Mayuge,Busakira,6290,741,2577,7105,4047,13729,7359,4111
Eastern,Mayuge,Buwaaya,4489,544,2208,6392,1623,10223,5388,3208
Eastern,Mayuge,Imanyiro,6538,725,2779,7471,4842,15092,8532,4319
Eastern,Mayuge,Jaguzi,2075,373,1244,4218,1828,7290,4097,2621
Eastern,Mayuge,Kigandalo,6577,951,3522,7482,3410,14414,6679,5420
Eastern,Mayuge,Kityerera,9619,1096,4744,11475,5248,21467,10064,8282
Eastern,Mayuge,Malongo,20280,3153,10539,26688,10135,47362,22615,18689
Eastern,Mayuge,Mayuge Town Council,3413,227,1105,3054,4792,8951,5961,1763
Eastern,Mayuge,Mpungwe,4908,946,2707,7867,1457,12031,5644,4417
Eastern,Mayuge,Wairasa,6625,658,3005,7916,6317,17238,9971,4923
Eastern,Mayuge,Mayuge Total,95676,12852,45613,120854,59896,226363,117270,76961
Eastern,Mbale,Industrial Divison,5921,583,2048,6040,15312,23400,17034,3442
Eastern,Mbale,Northern Division,5510,342,1441,5941,14083,21465,15913,3132
Eastern,Mbale,Wanale Division,2441,123,579,2862,5021,8462,6101,1326
Eastern,Mbale,Bubyangu,4177,634,1860,6410,2116,10386,5306,3640
Eastern,Mbale,Budwale,1498,215,293,2493,1004,3790,2380,835
Eastern,Mbale,Bufumbo,4460,404,986,5467,3250,9703,6033,2184
Eastern,Mbale,Bukasakya,5302,684,2252,7154,6666,16072,9518,4622
Eastern,Mbale,Bukiende,4261,638,1515,6211,3666,11392,5959,3918
Eastern,Mbale,Bukonde,3732,370,1106,5254,3548,9908,5902,2590
Eastern,Mbale,Bumasikye,2393,243,702,3402,2352,6456,3596,1954
Eastern,Mbale,Bumbobi,3336,298,1286,4531,2832,8649,4452,2989
Eastern,Mbale,Bungokho,5312,598,2059,7900,5153,15112,8152,4875
Eastern,Mbale,Bungokho Mutoto,6249,465,2158,8712,8046,18916,12192,4252
Eastern,Mbale,Busano,3156,210,708,4156,2587,7451,4205,2151
Eastern,Mbale,Busiu,4866,609,1087,7138,4262,12487,7044,3625
Eastern,Mbale,Busoba,4069,501,1170,5976,3726,10872,6200,3121
Eastern,Mbale,Lukhonge,2115,156,434,2972,1432,4838,2829,1292
Eastern,Mbale,Lwasso,1750,159,549,2847,1187,4583,2612,1326
Eastern,Mbale,Nakaloke,4670,457,1534,6034,3823,11391,6794,2953
Eastern,Mbale,Nakaloke Town Council,5329,371,1593,6476,6521,14590,9168,3393
Eastern,Mbale,Namanyonyi,5628,767,2040,8025,6299,16364,9782,4353
Eastern,Mbale,Nyondo,2091,400,734,2878,2846,6458,3834,1703
Eastern,Mbale,Wanale,2713,337,618,4306,1728,6652,3792,1883
Eastern,Mbale,Mbale Total,90979,9564,28752,123185,107460,259397,158798,65559
Eastern,Namayingo,Banda,8853,1590,3770,11771,4768,20309,9300,7927
Eastern,Namayingo,Bukana,1526,366,697,2473,805,3975,1858,1639
Eastern,Namayingo,Buhemba,5987,833,2175,7619,2595,12389,5703,4950
Eastern,Namayingo,Buswale,5380,938,2406,7550,2768,12724,6057,4819
Eastern,Namayingo,Buyinja,4955,605,1890,5628,2640,10158,4846,3744
Eastern,Namayingo,Lolwe,1673,123,920,4265,2017,7202,4860,1936
Eastern,Namayingo,Mutumba,8935,1278,2904,12038,4127,19069,8451,7849
Eastern,Namayingo,Namayingo TC,3129,442,1120,3808,2655,7583,4270,2202
Eastern,Namayingo,Sigulu Island,2827,300,1118,4825,2217,8160,5069,2185
Eastern,Namayingo,Namayingo Total,43265,6475,17000,59977,24592,101569,50414,37251
Eastern,Namutumba,Bulange,9421,1029,4032,11196,5118,20346,9875,7661
Eastern,Namutumba,Ivukula,9526,1066,3931,11578,5170,20679,10331,7342
Eastern,Namutumba,Kibaale,7101,757,3350,7761,4244,15355,7609,5380
Eastern,Namutumba,Magada,10165,1293,4505,12530,5215,22250,10707,8104
Eastern,Namutumba,Namutumba,7803,942,3403,9758,4370,17531,8624,6192
Eastern,Namutumba,Namutumba Town Council,3718,249,1368,3598,4473,9439,5869,2201
Eastern,Namutumba,Nsinze,5305,482,2180,6175,3777,12132,6578,3669
Eastern,Namutumba,Namutumba Total,53039,5818,22769,62596,32367,117732,59593,40549
Eastern,Ngora,Kapir,6446,760,2058,9084,4201,15343,8464,4611
Eastern,Ngora,Kobwin,7019,858,2172,9207,4317,15696,8713,4567
Eastern,Ngora,Mukura,6821,832,2002,9493,5655,17150,10374,4282
Eastern,Ngora,Ngora,5822,849,2159,7943,3876,13978,7473,4425
Eastern,Ngora,Ngora Town Council,2677,284,667,3262,3567,7496,4841,1611
Eastern,Ngora,Ngora Total,28785,3583,9058,38989,21616,69663,39865,19496
Eastern,Pallisa,Butebo,5960,894,1930,8103,3684,7098,4566,
Eastern,Pallisa,Kabwangasi,5948,467,2101,7367,4216,6932,4619,
Eastern,Pallisa,Kakoro,3677,293,959,4571,2760,4333,2607,
Eastern,Pallisa,Kanginima,1930,241,592,2675,1390,2521,1392,
Eastern,Pallisa,Kibale,3448,479,917,4778,1972,3538,2961,
Eastern,Pallisa,Opwateta,3477,386,899,4819,2184,4112,2542,
Eastern,Pallisa,Petete,5670,648,1893,6760,3384,5955,4201,
Eastern,Pallisa,Kamuge,4489,566,1334,5999,2667,4428,3921,
Eastern,Pallisa,Kasodo,2972,396,1075,3701,1990,3410,2282,
Eastern,Pallisa,Olok,3689,357,1011,4475,1990,3280,2925,
Eastern,Pallisa,Pallisa,3223,428,1528,4049,1685,3015,3032,
Eastern,Pallisa,Pallisa Town Council,6655,528,1956,7453,6634,8997,4708,
Eastern,Pallisa,Puti-Puti,4980,754,1968,6412,2892,5447,4018,
Eastern,Pallisa,Agule,3803,368,1004,5228,2467,4412,3000,
Eastern,Pallisa,Akisim,2576,243,935,3954,1617,3052,2360,
Eastern,Pallisa,Apopong,5719,700,1683,7674,2644,5288,4819,
Eastern,Pallisa,Chelekura,2644,231,732,3368,1468,2429,2205,
Eastern,Pallisa,Gogonyo,6251,875,2906,7998,3382,6322,5754,
Eastern,Pallisa,Kameke,3711,373,1053,5167,1862,4104,2772,
Eastern,Pallisa,Pallisa Total,80822,9227,26476,104551,50888,88673,64684,
Eastern,Serere,Bugondo,7595,1075,1700,10727,4061,16488,9617,4355
Eastern,Serere,Kadungulu,6957,711,2011,9709,2946,14666,8046,4389
Eastern,Serere,Kasilo Town Council,667,45,170,981,667,1818,1128,417
Eastern,Serere,Labori,4073,557,1257,6119,1858,9234,4643,3353
Eastern,Serere,Pingire,7048,754,1811,10105,4327,16243,8950,4893
Eastern,Serere,Atiira,4339,489,1097,6427,2744,10268,6137,2596
Eastern,Serere,Kateta,10756,2095,3835,15772,6079,25686,13180,8495
Eastern,Serere,Kyere,10635,1186,2816,14115,5790,22721,12389,6832
Eastern,Serere,Olio,5988,509,1469,8406,4098,13973,8237,3636
Eastern,Serere,Serere Town Council,1388,85,303,1630,2640,4573,3319,655
Eastern,Serere,Serere Total,59446,7506,16469,83991,35210,135670,75646,39621
Eastern,Sironko,Budadiri Town Council,3213,151,583,4518,4652,9753,6733,1529
Eastern,Sironko,Bugitimwa,1561,260,863,2800,858,4521,2125,1774
Eastern,Sironko,Buhugu,1412,103,481,2386,1170,4037,2231,1224
Eastern,Sironko,Bukhulo,3839,336,1204,4886,2726,8816,4604,2866
Eastern,Sironko,Bukiise,3857,408,1552,6096,3219,10867,6011,3344
Eastern,Sironko,Bukiyi,2405,241,700,4053,2159,6912,3916,1992
Eastern,Sironko,Bukyabo,1537,102,412,2224,916,3552,1906,1116
Eastern,Sironko,Bukyambi,651,80,216,1186,537,1939,1078,555
Eastern,Sironko,Bumalimba,3094,359,1031,5061,2838,8930,5041,2620
Eastern,Sironko,Bumasifwa,1961,196,847,3373,1311,5531,2807,1974
Eastern,Sironko,Bunyafa,2249,230,713,4019,1273,6005,2900,2157
Eastern,Sironko,Busulani,1414,130,549,2300,1254,4103,2305,1208
Eastern,Sironko,Butandiga,1097,175,267,1986,922,3175,1803,855
Eastern,Sironko,Buteza,2246,234,706,3685,1263,5654,2950,1865
Eastern,Sironko,Buwalasi,2446,256,763,4485,2351,7599,4447,2142
Eastern,Sironko,Buwasa,1600,117,464,2858,1539,4861,2708,1418
Eastern,Sironko,Buyobo,2472,392,849,4531,1798,7178,3961,2240
Eastern,Sironko,Masaba,1705,478,1070,3192,955,5217,2438,2076
Eastern,Sironko,Nalusala,1714,171,456,3229,1417,5102,2823,1579
Eastern,Sironko,Sironko Town Council,3040,392,947,4131,3905,8983,5258,2417
Eastern,Sironko,Zesui,2127,276,936,3459,1147,5542,2611,2172
Eastern,Sironko,Sironko Total,45640,5087,15609,74458,38210,128277,70656,39123
Eastern,Soroti,Eastern Division,2855,133,676,3330,7181,11187,8449,1458
Eastern,Soroti,Northern Division,2657,234,686,2910,6991,10587,8050,1279
Eastern,Soroti,Western Division,1698,86,327,1491,5318,7136,5620,682
Eastern,Soroti,Tubur,4471,693,1707,5891,2655,10253,5674,2935
Eastern,Soroti,Kamuda,7925,792,1895,11652,4115,17662,10124,4829
Eastern,Soroti,Asuret,7734,1319,2619,11543,4878,19040,10834,5375
Eastern,Soroti,Katine,7282,1000,2306,10091,3873,16270,9056,4672
Eastern,Soroti,Soroti,4572,349,1258,5620,6568,13446,9266,2325
Eastern,Soroti,Arapai,7631,1404,3104,10878,5983,19965,11318,5548
Eastern,Soroti,Gweri,9771,1164,3532,14185,5721,23438,13118,6796
Eastern,Soroti,Soroti Total,56596,7174,18110,77591,53283,148984,91509,35899
Eastern,Tororo,Kwapa,4166,375,1405,5699,3302,10406,5497,3341
Eastern,Tororo,Malaba Town Council,3044,245,912,4236,4499,9647,6361,2137
Eastern,Tororo,Mella,4118,319,1357,5279,3187,9823,5254,3100
Eastern,Tororo,Merikit,5213,593,2286,7397,2940,12623,5828,5007
Eastern,Tororo,Molo,3871,379,1417,5434,2532,9383,4667,3293
Eastern,Tororo,Mukuju,7900,711,3555,10801,4749,19105,8874,7395
Eastern,Tororo,Osukuru,8739,825,3395,12700,7470,23565,12078,8050
Eastern,Tororo,Iyolwa,4161,677,1554,5607,2291,9452,4902,3132
Eastern,Tororo,Kirewa,5816,725,3099,7341,3079,13519,6012,5401
Eastern,Tororo,Kisoko,3811,450,1842,5515,2403,9760,4471,3865
Eastern,Tororo,Magola,3707,369,1281,5042,2492,8815,4771,2701
Eastern,Tororo,Mulanda,8039,836,3194,10983,4655,18832,8884,7128
Eastern,Tororo,Nabuyoga,6591,717,2903,8109,3482,14494,6326,5967
Eastern,Tororo,Nagongera,5329,592,2826,6660,2941,12427,5489,5040
Eastern,Tororo,Nagongera Town Council,2359,366,1141,3163,1824,6128,2877,2296
Eastern,Tororo,Paya,6147,750,3290,7878,3079,14247,6244,5946
Eastern,Tororo,Petta,3335,206,1198,4666,1955,7819,3655,3036
Eastern,Tororo,Rubongi,7388,610,2813,10470,5648,18931,9884,6273
Eastern,Tororo,Sop-Sop,3095,252,1326,3995,1557,6878,3115,2744
Eastern,Tororo,"Eastern Division,Tororo Municipality",3156,258,900,3515,6210,10625,7546,1588
Eastern,Tororo,"Western Division,Tororo Municipality",3759,303,1291,3759,7979,13029,9224,2030
Eastern,Tororo,Tororo Total,103744,10558,42985,138249,78274,259508,131959,89470
