Region,District,Sub-county,Male,Female,Total,Sex Ratio*,Land Area (Sq. Km),Population Density**
Eastern,Soroti,Kamuda,18398,18625,37023,98.8,193.4,191
Eastern,Soroti,Katine,17320,17752,35072,97.6,225.4,156
Eastern,Soroti,Soroti,12080,13036,25116,92.7,62.7,401
Eastern,Soroti,Tubur,10645,11328,21973,94,135.8,162
Eastern,Soroti,Soroti Total,144976,151857,296833,95.5,1366.1,217
Eastern,Tororo,Kwapa,9755,10405,20160,93.8,42.9,470
Eastern,Tororo,Malaba Town Council,8586,9382,17968,91.5,1.6,11230
Eastern,Tororo,Mella,9239,10022,19261,92.2,65.2,295
Eastern,Tororo,Merikit,12367,13402,25769,92.3,55.4,465
Eastern,Tororo,Molo,9008,9795,18803,92,41,459
Eastern,Tororo,Mukuju,18480,19729,38209,93.7,76,503
Eastern,Tororo,Osukuru,22780,23104,45884,98.6,113.8,403
Eastern,Tororo,Iyolwa,9762,10533,20295,92.7,92.4,220
Eastern,Tororo,Kirewa,13705,14408,28113,95.1,64,439
Eastern,Tororo,Kisoko,9274,9740,19014,95.2,34.5,551
Eastern,Tororo,Magola,8633,9191,17824,93.9,60.9,293
Eastern,Tororo,Mulanda,18863,19935,38798,94.6,112.3,345
Eastern,Tororo,Nabuyoga,15086,15840,30926,95.2,87.9,352
Eastern,Tororo,Nagongera,12440,13082,25522,95.1,55.6,459
Eastern,Tororo,Nagongera Town Council,5992,6349,12341,94.4,24.9,496
Eastern,Tororo,Paya,14617,14870,29487,98.3,80.2,368
Eastern,Tororo,Petta,7633,8158,15791,93.6,35.5,445
Eastern,Tororo,Rubongi,17810,18717,36527,95.2,81.5,448
Eastern,Tororo,Sop-Sop,6948,7424,14372,93.6,37,388
Eastern,Tororo,"Eastern Division,Tororo Municipality","9,048","10,026","19,074",90.2,18.0,"1,060"
Eastern,Tororo,"Western Division,Tororo Municipality","10,804","12,138","22,942",89.0,13.2,"1,738"
Eastern,Tororo,Tororo Total,"250,830","266,250","517,080",94.2,"1,193.8",433
